@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute outputs_annie-1 numeric
@attribute outputs_annie-2 numeric
@attribute outputs_annie-3 numeric
@attribute outputs_annie-4 numeric
@attribute outputs_annie-5 numeric
@attribute outputs_annie-6 numeric

@data
169,'2017/02/12 13:21:20:313',6,355.984833,214.401413,4.505438,-0.075611,0.01631,0.022911,13.565479,11.157797,7.721229,7.70141,2.434851,2.4205,28.981913,5.866507,0,0,0,?,?,?
170,'2017/02/12 13:21:20:343',6,358.083954,214.515152,4.499032,-0.090491,0.004584,0.023609,13.573279,11.014569,7.679596,7.657607,2.431085,2.413618,29.026056,5.633146,0,0,0,?,?,?
171,'2017/02/12 13:21:20:367',6,360.546265,214.341431,4.497871,-0.075414,-0.004896,0.023976,13.598662,11.241471,7.70226,7.688267,2.365983,2.346288,29.107721,5.691338,0,0,0,?,?,?
172,'2017/02/12 13:21:20:399',6,363.446289,213.873138,4.488999,-0.065816,-0.013268,0.027501,13.567931,11.12283,7.722678,7.704876,2.399318,2.370296,29.14584,5.713662,0,0,0,?,?,?
173,'2017/02/12 13:21:20:443',6,366.767334,213.465134,4.486979,-0.067979,-0.02057,0.032414,13.541675,11.018249,7.723924,7.708426,2.411683,2.378077,29.154249,5.806319,0,0,0,?,?,?
174,'2017/02/12 13:21:20:469',6,371.174438,212.896851,4.488551,-0.057636,-0.026332,0.033492,13.557223,11.111737,7.727499,7.725319,2.382047,2.333758,29.185865,5.63821,0,0,0,?,?,?
175,'2017/02/12 13:21:20:516',6,376.27066,212.404236,4.481673,-0.05124,-0.0372,0.038005,13.498007,11.283132,7.789403,7.769513,2.417919,2.345091,29.156729,5.677132,0,0,0,?,?,?
176,'2017/02/12 13:21:20:536',6,381.613983,211.871613,4.476283,-0.038727,-0.049169,0.046218,13.513095,11.172505,7.788579,7.766029,2.380395,2.313785,29.203375,5.72761,0,0,0,?,?,?
177,'2017/02/12 13:21:20:576',6,387.644867,211.516708,4.459541,-0.046093,-0.058213,0.051865,13.611671,10.676118,7.723719,7.695564,2.39396,2.295072,29.160194,5.776488,0,0,0,?,?,?
178,'2017/02/12 13:21:20:606',6,393.753662,211.456726,4.458299,-0.04377,-0.073625,0.062703,13.482155,10.782318,7.716109,7.690516,2.355733,2.267278,29.26729,5.695001,0,0,0,?,?,?
179,'2017/02/12 13:21:20:643',6,400.152557,211.859009,4.474991,-0.039924,-0.089053,0.075099,13.396875,10.873055,7.751324,7.739183,2.377193,2.306592,29.192747,5.473415,0,0,0,?,?,?
180,'2017/02/12 13:21:20:668',6,406.273163,211.957443,4.474027,-0.045267,-0.099064,0.085071,13.36116,10.465647,7.571299,7.565387,2.378928,2.308262,28.978603,5.480082,0,0,0,?,?,?
181,'2017/02/12 13:21:20:711',6,412.358917,212.006912,4.471984,-0.048502,-0.10815,0.093638,13.544835,10.58852,7.475435,7.459833,2.390427,2.323597,28.92882,5.616456,0,0,0,?,?,?
182,'2017/02/12 13:21:20:736',6,418.255524,212.405472,4.490052,-0.056554,-0.113225,0.101915,13.436642,10.786907,7.407144,7.39926,2.360595,2.299899,28.832537,5.675369,0,0,0,?,?,?
183,'2017/02/12 13:21:20:759',6,423.688843,212.801422,4.492498,-0.050674,-0.120247,0.110524,13.297114,10.717998,7.463366,7.454039,2.374894,2.31306,28.802547,5.416576,0,0,0,?,?,?
184,'2017/02/12 13:21:20:817',6,428.314545,213.644577,4.489708,-0.065345,-0.126726,0.112624,13.638891,10.90005,7.389637,7.401488,2.399539,2.347165,28.624981,5.699516,0,0,0,?,?,?
185,'2017/02/12 13:21:20:836',6,432.292114,214.71051,4.486725,-0.062534,-0.131344,0.120364,13.370098,10.672775,7.443653,7.454043,2.360181,2.303622,28.472275,5.728596,0,0,0,?,?,?
186,'2017/02/12 13:21:20:866',6,435.419495,215.750885,4.488663,-0.044572,-0.131047,0.123399,13.32844,10.867893,7.443465,7.453237,2.337854,2.27358,28.396854,5.646467,0,0,0,?,?,?
